Sample Name,Generation Data Classes,Audio Codes Shape,Positional Embedding Shape,Global Attributes,Key One Hot Encoding Shape,Track Class One Hot Encoding Shape
backdown_1_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 157.0, ""bars"": 16, ""key"": ""C#_MINOR""}","(24,)","(17,)"
backdown_1_16bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 157.0, ""bars"": 16, ""key"": ""C#_MINOR""}","(24,)","(17,)"
backdown_1_16bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 157.0, ""bars"": 16, ""key"": ""C#_MINOR""}","(24,)","(17,)"
backdown_1_16bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 157.0, ""bars"": 16, ""key"": ""C#_MINOR""}","(24,)","(17,)"
backdown_1_16bars_segment_5,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 157.0, ""bars"": 16, ""key"": ""C#_MINOR""}","(24,)","(17,)"
backdown_2_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 157.0, ""bars"": 16, ""key"": ""C#_MINOR""}","(24,)","(17,)"
backdown_2_16bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 157.0, ""bars"": 16, ""key"": ""C#_MINOR""}","(24,)","(17,)"
backdown_2_16bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 157.0, ""bars"": 16, ""key"": ""C#_MINOR""}","(24,)","(17,)"
backdown_2_16bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 157.0, ""bars"": 16, ""key"": ""C#_MINOR""}","(24,)","(17,)"
backdown_2_16bars_segment_5,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 157.0, ""bars"": 16, ""key"": ""C#_MINOR""}","(24,)","(17,)"
bankroll_1_12bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 100.0, ""bars"": 12, ""key"": ""A#_MAJOR""}","(24,)","(17,)"
bankroll_1_12bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 100.0, ""bars"": 12, ""key"": ""A#_MAJOR""}","(24,)","(17,)"
bankroll_1_12bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 100.0, ""bars"": 12, ""key"": ""A#_MAJOR""}","(24,)","(17,)"
bankroll_2_20bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 100.0, ""bars"": 20, ""key"": ""A#_MAJOR""}","(24,)","(17,)"
bankroll_2_20bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 100.0, ""bars"": 20, ""key"": ""A#_MAJOR""}","(24,)","(17,)"
bankroll_2_20bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 100.0, ""bars"": 20, ""key"": ""A#_MAJOR""}","(24,)","(17,)"
bankroll_2_20bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 100.0, ""bars"": 20, ""key"": ""A#_MAJOR""}","(24,)","(17,)"
bankroll_2_20bars_segment_5,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 100.0, ""bars"": 20, ""key"": ""A#_MAJOR""}","(24,)","(17,)"
crazy_1_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 107.0, ""bars"": 16, ""key"": ""D#_MINOR""}","(24,)","(17,)"
crazy_1_16bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 107.0, ""bars"": 16, ""key"": ""D#_MINOR""}","(24,)","(17,)"
crazy_1_16bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 107.0, ""bars"": 16, ""key"": ""D#_MINOR""}","(24,)","(17,)"
crazy_1_16bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 107.0, ""bars"": 16, ""key"": ""D#_MINOR""}","(24,)","(17,)"
crazy_2_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 107.0, ""bars"": 16, ""key"": ""D#_MINOR""}","(24,)","(17,)"
crazy_2_16bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 107.0, ""bars"": 16, ""key"": ""D#_MINOR""}","(24,)","(17,)"
crazy_2_16bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 107.0, ""bars"": 16, ""key"": ""D#_MINOR""}","(24,)","(17,)"
crazy_2_16bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 107.0, ""bars"": 16, ""key"": ""D#_MINOR""}","(24,)","(17,)"
dong_1_20bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 90.0, ""bars"": 20, ""key"": ""F_MAJOR""}","(24,)","(17,)"
dong_1_20bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 90.0, ""bars"": 20, ""key"": ""F_MAJOR""}","(24,)","(17,)"
dong_1_20bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 90.0, ""bars"": 20, ""key"": ""F_MAJOR""}","(24,)","(17,)"
dong_1_20bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 90.0, ""bars"": 20, ""key"": ""F_MAJOR""}","(24,)","(17,)"
dong_1_20bars_segment_5,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 90.0, ""bars"": 20, ""key"": ""F_MAJOR""}","(24,)","(17,)"
dong_2_24bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 90.0, ""bars"": 24, ""key"": ""F_MAJOR""}","(24,)","(17,)"
dong_2_24bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 90.0, ""bars"": 24, ""key"": ""F_MAJOR""}","(24,)","(17,)"
dong_2_24bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 90.0, ""bars"": 24, ""key"": ""F_MAJOR""}","(24,)","(17,)"
dong_2_24bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 90.0, ""bars"": 24, ""key"": ""F_MAJOR""}","(24,)","(17,)"
dong_2_24bars_segment_5,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 90.0, ""bars"": 24, ""key"": ""F_MAJOR""}","(24,)","(17,)"
dong_2_24bars_segment_6,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 90.0, ""bars"": 24, ""key"": ""F_MAJOR""}","(24,)","(17,)"
easy_1_24bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750)]","(750, 128)","{""bpm"": 126.0, ""bars"": 24, ""key"": ""C_MAJOR""}","(24,)","(17,)"
easy_1_24bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750)]","(750, 128)","{""bpm"": 126.0, ""bars"": 24, ""key"": ""C_MAJOR""}","(24,)","(17,)"
easy_1_24bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750)]","(750, 128)","{""bpm"": 126.0, ""bars"": 24, ""key"": ""C_MAJOR""}","(24,)","(17,)"
easy_1_24bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (4, 750)]","(750, 128)","{""bpm"": 126.0, ""bars"": 24, ""key"": ""C_MAJOR""}","(24,)","(17,)"
empire_state_1_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(0,), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 87.0, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
