Sample Name,Generation Data Classes,Audio Codes Shape,Positional Embedding Shape,Global Attributes,Key One Hot Encoding Shape,Track Class One Hot Encoding Shape
marriage_counselling_1_18bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 18, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_1_18bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 18, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_1_18bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 18, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_1_18bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 18, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_1_18bars_segment_5,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 18, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_2_20bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 20, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_2_20bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 20, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_2_20bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 20, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_2_20bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 20, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_2_20bars_segment_5,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 20, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_4_36bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 36, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_4_36bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 36, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_4_36bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 36, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_4_36bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 36, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_4_36bars_segment_5,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 36, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_4_36bars_segment_6,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 36, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_4_36bars_segment_7,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 36, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_4_36bars_segment_8,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 36, ""key"": ""G#_MINOR""}","(24,)","(17,)"
marriage_counselling_4_36bars_segment_9,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 95.0, ""bars"": 36, ""key"": ""G#_MINOR""}","(24,)","(17,)"
myown_1_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 108.0, ""bars"": 16, ""key"": ""C_MAJOR""}","(24,)","(17,)"
myown_1_16bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 108.0, ""bars"": 16, ""key"": ""C_MAJOR""}","(24,)","(17,)"
myown_1_16bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 108.0, ""bars"": 16, ""key"": ""C_MAJOR""}","(24,)","(17,)"
myown_1_16bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 108.0, ""bars"": 16, ""key"": ""C_MAJOR""}","(24,)","(17,)"
myown_2_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 108.0, ""bars"": 16, ""key"": ""C_MAJOR""}","(24,)","(17,)"
myown_2_16bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 108.0, ""bars"": 16, ""key"": ""C_MAJOR""}","(24,)","(17,)"
myown_2_16bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 108.0, ""bars"": 16, ""key"": ""C_MAJOR""}","(24,)","(17,)"
myown_2_16bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 108.0, ""bars"": 16, ""key"": ""C_MAJOR""}","(24,)","(17,)"
myown_3_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 108.0, ""bars"": 16, ""key"": ""C_MAJOR""}","(24,)","(17,)"
myown_3_16bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 108.0, ""bars"": 16, ""key"": ""C_MAJOR""}","(24,)","(17,)"
myown_3_16bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 108.0, ""bars"": 16, ""key"": ""C_MAJOR""}","(24,)","(17,)"
myown_3_16bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 108.0, ""bars"": 16, ""key"": ""C_MAJOR""}","(24,)","(17,)"
nakarmi_1_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 89.5, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
nakarmi_1_16bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 89.5, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
nakarmi_1_16bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 89.5, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
nakarmi_1_16bars_segment_4,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (4, 750), (0,), (0,)]","(750, 128)","{""bpm"": 89.5, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
nikhil_1_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 110.0, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
nikhil_1_16bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 110.0, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
nikhil_1_16bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 110.0, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
nikhil_2_16bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 110.0, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
nikhil_2_16bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 110.0, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
nikhil_2_16bars_segment_3,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 110.0, ""bars"": 16, ""key"": ""B_MAJOR""}","(24,)","(17,)"
right_energy_1_12bars_segment_1,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 102.0, ""bars"": 12, ""key"": ""D_MAJOR""}","(24,)","(17,)"
right_energy_1_12bars_segment_2,"['bass', 'brass', 'clap', 'drums', 'hi_hat', 'keys', 'kick', 'melody', 'percs', 'piano', 'ride', 'sample', 'sfx', 'snare', 'strings', 'synth']","[(4, 750), (0,), (4, 750), (4, 750), (4, 750), (4, 750), (4, 750), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,), (0,)]","(750, 128)","{""bpm"": 102.0, ""bars"": 12, ""key"": ""D_MAJOR""}","(24,)","(17,)"
